Type                                  Module                      Label             Process   
edm::DetSetVector<StripDigiSimLink>    "simMuonCSCDigis"           "MuonCSCWireDigiSimLinks"   "HLT"     
edm::DetSetVector<StripDigiSimLink>    "mixData"                   "StripDigiSimLink"   "HLT"     
edm::HepMCProduct                     "generatorSmeared"          ""                "HLT"     
edm::RandomEngineStates               "randomEngineStateProducer"   ""                "HLT"     
edm::TriggerResults                   "TriggerResults"            ""                "HLT"     
float                                 "genParticles"              "t0"              "HLT"     
int                                   "addPileupInfo"             "bunchSpacing"    "HLT"     
int                                   "mixData"                   "bunchSpacing"    "HLT"     
vector<PileupSummaryInfo>             "addPileupInfo"             ""                "HLT"     
vector<PileupSummaryInfo>             "mixData"                   ""                "HLT"     
vector<ScoutingCaloJet>               "hltScoutingCaloPacker"     ""                "HLT"     
vector<ScoutingElectron>              "hltScoutingEgammaPacker"   ""                "HLT"     
vector<ScoutingMuon>                  "hltScoutingMuonPacker"     ""                "HLT"     
vector<ScoutingMuon>                  "hltScoutingMuonPackerCalo"   ""                "HLT"     
vector<ScoutingPFJet>                 "hltScoutingPFPacker"       ""                "HLT"     
vector<ScoutingParticle>              "hltScoutingPFPacker"       ""                "HLT"     
vector<ScoutingPhoton>                "hltScoutingEgammaPacker"   ""                "HLT"     
vector<ScoutingTrack>                 "hltScoutingTrackPacker"    ""                "HLT"     
vector<ScoutingVertex>                "hltScoutingMuonPacker"     "displacedVtx"    "HLT"     
vector<ScoutingVertex>                "hltScoutingMuonPackerCalo"   "displacedVtx"    "HLT"     
vector<ScoutingVertex>                "hltScoutingPrimaryVertexPacker"   "primaryVtx"      "HLT"     
vector<ScoutingVertex>                "hltScoutingPrimaryVertexPackerCaloMuon"   "primaryVtx"      "HLT"     
vector<TrackingParticle>              "mix"                       "MergedTrackTruth"   "HLT"     
vector<TrackingParticle>              "mixData"                   "MergedTrackTruth"   "HLT"     
vector<TrackingVertex>                "mix"                       "MergedTrackTruth"   "HLT"     
vector<TrackingVertex>                "mixData"                   "MergedTrackTruth"   "HLT"     
vector<int>                           "genParticles"              ""                "HLT"     
vector<reco::GenJet>                  "ak4GenJets"                ""                "HLT"     
vector<reco::GenJet>                  "ak4GenJetsNoNu"            ""                "HLT"     
vector<reco::GenJet>                  "ak8GenJets"                ""                "HLT"     
vector<reco::GenJet>                  "ak8GenJetsNoNu"            ""                "HLT"     
vector<reco::GenMET>                  "genMetCalo"                ""                "HLT"     
vector<reco::GenMET>                  "genMetTrue"                ""                "HLT"     
vector<reco::GenParticle>             "genParticles"              ""                "HLT"     
vector<reco::GenParticle>             "genPUProtons"              "genPUProtons"    "HLT"     
vector<pair<int,bitset<6> > >         "mix"                       "AffectedAPVList"   "HLT"     
trigger::TriggerEvent                 "hltTriggerSummaryAOD"      ""                "HLT"     
